date,open,high,low,close,volume,RSI_14,EMA_3,EMA_7,EMA_10,EMA_14,EMA_21
2020-05-08 09:15:00+05:30,536.9,537.05,532.8,535.6,1269786,65.82895048079081,532.4815605319961,530.9416168639657,530.5183432348261,530.2604837101894,530.2707841766969
2020-05-08 09:20:00+05:30,536.0,536.9,532.6,533.95,753357,59.67624309827326,533.2157802659981,531.6937126479743,531.1422808284941,530.7524192154975,530.6052583424517
2020-05-08 09:25:00+05:30,533.95,535.4,532.4,533.35,559002,57.569115308518576,533.282890132999,532.1077844859807,531.5436843142224,531.0987633200979,530.8547803113197
2020-05-08 09:30:00+05:30,533.35,540.6,533.25,540.0,1564095,70.14954416556981,536.6414450664995,534.0808383644855,533.081196257091,532.2855948774181,531.6861639193816
2020-05-08 09:35:00+05:30,540.05,542.4,537.25,542.0,1190193,72.76492517338433,539.3207225332498,536.0606287733642,534.70279693762,533.5808488937624,532.623785381256
2020-05-08 09:40:00+05:30,542.25,543.75,540.8,542.0,1199448,72.76492517338433,540.6603612666249,537.5454715800231,536.0295611307799,534.7034023745941,533.4761685284145
2020-05-08 09:45:00+05:30,542.0,543.6,538.6,539.35,829248,64.13049230819189,540.0051806333124,537.9966036850174,536.63327728882,535.3229487246483,534.0101532076495
2020-05-08 09:50:00+05:30,539.2,539.9,537.75,538.65,605277,62.03640305304501,539.3275903166561,538.159952763763,536.9999541453981,535.7665555613619,534.4319574614996
2020-05-08 09:55:00+05:30,538.65,539.5,538.2,539.15,427581,62.96661240788601,539.238795158328,538.4074645728223,537.3908715735075,536.2176814865136,534.8608704195451
2020-05-08 10:00:00+05:30,539.15,541.35,538.35,540.5,349839,65.42962105463255,539.869397579164,538.9305984296167,537.9561676510516,536.7886572883118,535.3735185632228
2020-05-08 10:05:00+05:30,540.5,541.8,539.5,540.75,377604,65.88214867502651,540.309698789582,539.3854488222125,538.4641371690423,537.3168363165369,535.8622896029298
2020-05-08 10:10:00+05:30,540.75,540.85,539.9,540.45,114762,64.78620205318734,540.379849394791,539.6515866166594,538.8252031383073,537.734591474332,536.2793541844816
2020-05-08 10:15:00+05:30,540.0,541.8,539.85,541.1,309117,66.10195130596765,540.7399246973955,540.0136899624946,539.238802567706,538.1833126110878,536.7175947131651
2020-05-08 10:20:00+05:30,541.1,541.4,539.8,540.1,157335,62.248411378018446,540.4199623486977,540.035267471871,539.3953839190322,538.4388709296095,537.0250861028774
2020-05-08 10:25:00+05:30,540.1,540.2,537.55,538.0,264693,54.997501287788786,539.2099811743489,539.5264506039032,539.1416777519354,538.3803548056616,537.1137146389794
2020-05-08 10:30:00+05:30,538.0,539.35,537.85,539.1,185100,57.77222964421687,539.1549905871744,539.4198379529274,539.1340999788562,538.47630749824,537.2942860354359
2020-05-08 10:35:00+05:30,539.05,539.95,538.6,539.95,107358,59.83315602099735,539.5524952935873,539.5523784646955,539.282445437246,538.672799831808,537.535714577669
2020-05-08 10:40:00+05:30,539.95,541.65,539.4,540.9,233226,62.06175014857265,540.2262476467936,539.8892838485216,539.5765462668376,538.9697598542335,537.8415587069718
2020-05-08 10:45:00+05:30,540.9,543.5,539.6,543.5,405369,67.39383888891706,541.8631238233968,540.7919628863912,540.2899014910489,539.573791873669,538.3559624608835
2020-05-08 10:50:00+05:30,543.4,544.1,542.45,543.05,888480,65.67342248427758,542.4565619116984,541.3564721647933,540.7917375835855,540.0372862905132,538.7826931462577
2020-05-08 10:55:00+05:30,543.05,544.3,541.65,541.9,751506,61.36234955341988,542.1782809558492,541.492354123595,540.9932398411154,540.2856481184448,539.066084678416
2020-05-08 11:00:00+05:30,541.9,543.15,540.1,543.0,477558,63.80954835620515,542.5891404779246,541.8692655926963,541.3581053245489,540.6475617026522,539.4237133440146
2020-05-08 11:05:00+05:30,543.0,545.35,542.65,545.35,819993,68.41247451773947,543.9695702389623,542.7394491945222,542.083904356449,541.2745534756319,539.9624666763768
2020-05-08 11:10:00+05:30,545.15,545.6,543.3,543.85,536790,62.91221639621001,543.9097851194812,543.0170868958917,542.4050126552764,541.6179463455477,540.3158787967062
2020-05-08 11:15:00+05:30,543.85,545.5,543.5,545.45,373902,66.04787081687778,544.6798925597407,543.6253151719188,542.9586467179535,542.128886832808,540.7826170879148
2020-05-08 11:20:00+05:30,545.45,545.85,544.0,544.0,546045,61.013384846791546,544.3399462798703,543.7189863789391,543.1479836783255,542.3783685884337,541.0751064435589
2020-05-08 11:25:00+05:30,544.0,545.5,543.85,545.05,333180,63.200844947419,544.6949731399352,544.0517397842043,543.4938048277209,542.7345861099758,541.4364604032353
2020-05-08 11:30:00+05:30,545.05,545.6,544.3,544.9,296160,62.65996435820745,544.7974865699675,544.2638048381532,543.7494766772261,543.0233079619791,541.7513276393048
2020-05-08 11:35:00+05:30,544.9,545.15,543.55,543.65,338733,58.190704909169476,544.2237432849838,544.1103536286149,543.7313900086394,543.1068669003819,541.9239342175498
2020-05-08 11:40:00+05:30,543.65,543.75,542.5,543.0,270246,55.955703453131804,543.6118716424919,543.8327652214612,543.5984100070685,543.0926179803309,542.0217583795907
2020-05-08 11:45:00+05:30,543.0,543.5,542.25,543.5,183249,57.31386780827071,543.555935821246,543.7495739160959,543.5805172785106,543.1469355829535,542.156143981446
2020-05-08 11:50:00+05:30,543.5,544.85,542.85,544.5,211014,59.97237105188877,544.0279679106229,543.9371804370719,543.747695955145,543.3273441718931,542.3692218013146
2020-05-08 11:55:00+05:30,544.5,544.75,543.8,544.0,129570,58.026424584623186,544.0139839553115,543.9528853278039,543.7935694178459,543.4170316156407,542.5174743648314
2020-05-08 12:00:00+05:30,544.0,544.2,542.3,542.35,246183,52.0270312326472,543.1819919776558,543.5521639958529,543.5311022509648,543.2747607335552,542.502249422574
2020-05-08 12:05:00+05:30,542.4,542.65,541.3,542.55,325776,52.665863319351956,542.8659959888279,543.3016229968896,543.3527200235166,543.1781259690812,542.5065903841581
2020-05-08 12:10:00+05:30,542.55,543.8,542.1,542.7,148080,53.169554517771004,542.782997994414,543.1512172476672,543.2340436556044,543.1143758398704,542.5241730765074
2020-05-08 12:15:00+05:30,542.7,543.2,541.3,541.45,168441,48.53460665664434,542.116498997207,542.7259129357503,542.9096720818582,542.8924590612211,542.4265209786431
2020-05-08 12:20:00+05:30,541.45,541.55,539.5,540.2,570108,44.36928148620759,541.1582494986035,542.0944347018128,542.4170044306112,542.5334645197249,542.2241099805847
